YEAR,HHWT,MET2013,PUMA,OWNERSHPD,MORTAMT1,RENT,PERNUM,PERWT,SEX,AGE,MARST,RACE,HISPAN,EDUC,EMPSTAT,OCC2010,IND,INCTOT,FTOTINC,POVERTY,MIGMET1,MIGPLAC1,MIGPUMA1
2006,129,38060,104,22,0,150,2,143,1,35,1,1,1,5,1,6260,770,1000,9000,44,4480.0,,
2006,129,38060,104,22,0,150,3,149,2,4,6,1,1,0,0,9920,0,9999999,9000,44,4480.0,,
2006,129,38060,104,22,0,150,4,150,2,3,6,1,1,0,0,9920,0,9999999,9000,44,4480.0,,
2006,34,38060,118,22,0,1200,1,33,1,23,1,7,1,4,2,6260,770,12000,13200,43,4480.0,,
2006,34,38060,118,22,0,1200,2,40,2,21,1,7,1,4,2,430,6390,0,13200,43,4480.0,,
2006,34,38060,118,22,0,1200,3,58,2,7,6,7,1,1,0,9920,0,9999999,13200,43,4480.0,,
2006,34,38060,118,22,0,1200,4,60,1,6,6,7,1,1,0,9920,0,9999999,13200,43,4480.0,,
2006,34,38060,118,22,0,1200,5,67,1,4,6,7,4,0,0,9920,0,9999999,13200,43,4480.0,,
2006,80,46060,207,13,800,0,1,77,2,30,1,7,1,6,2,9100,7860,19500,27500,118,4480.0,,
2006,80,46060,207,13,800,0,2,80,1,35,1,7,1,2,1,310,8680,8000,27500,118,4480.0,,
2006,80,46060,207,13,800,0,3,76,2,11,6,7,1,1,0,9920,0,9999999,27500,118,4480.0,,
2006,80,46060,207,13,800,0,4,77,2,8,6,7,1,1,0,9920,0,9999999,27500,118,4480.0,,
2006,80,46060,207,13,800,0,5,85,2,4,6,7,1,0,0,9920,0,9999999,27500,118,4480.0,,
2006,83,29420,600,21,0,0,1,83,2,43,4,1,0,6,2,9920,9920,0,16400,101,4480.0,,
2006,83,29420,600,21,0,0,3,90,2,4,6,1,0,0,0,9920,0,9999999,16400,101,4480.0,,
2006,201,38060,117,22,0,590,1,203,1,44,3,2,0,10,1,1020,7290,56000,68000,424,4480.0,,
2006,201,38060,117,22,0,590,2,299,2,20,6,2,0,7,1,4720,5380,12000,68000,424,4480.0,,
2006,109,38060,120,22,0,900,1,110,1,31,6,1,0,10,1,7330,3390,60000,60000,501,4482.0,,
2006,90,38060,110,12,0,0,1,90,1,47,1,7,1,6,1,7340,8680,21700,127900,458,4480.0,,
2006,90,38060,110,12,0,0,4,86,1,24,6,7,1,6,3,4130,7860,600,127900,458,4480.0,,
2006,90,38060,110,12,0,0,5,79,2,19,6,7,0,7,1,2540,7860,24100,127900,458,4480.0,,
2006,90,38060,110,12,0,0,6,97,1,22,6,7,0,6,1,9100,7860,13500,127900,458,4480.0,,
2006,173,38060,118,22,0,900,1,172,1,40,1,1,1,2,1,6260,770,38000,50000,213,4480.0,,
2006,173,38060,118,22,0,900,2,155,2,35,1,1,1,2,1,9640,3570,12000,50000,213,4480.0,,
2006,173,38060,118,22,0,900,3,161,2,13,6,1,1,2,0,9920,0,9999999,50000,213,4480.0,,
2006,173,38060,118,22,0,900,4,161,2,10,6,1,1,1,0,9920,0,9999999,50000,213,4480.0,,
2006,173,38060,118,22,0,900,5,192,1,4,6,1,1,0,0,9920,0,9999999,50000,213,4480.0,,
2006,44,29420,600,22,0,600,2,45,2,53,1,6,0,0,1,4520,8990,7000,18980,140,4480.0,,
2006,81,38060,116,22,0,640,1,83,2,26,6,1,0,8,1,5940,7070,47000,47000,461,4482.0,,
2006,98,38060,116,13,620,0,2,95,1,20,2,1,1,6,1,7700,3990,2400,60800,392,4480.0,,
2006,66,38060,118,22,0,750,1,66,2,44,4,1,1,2,1,9640,6390,6500,27600,131,4480.0,,
2006,66,38060,118,22,0,750,2,84,2,22,3,1,1,7,1,5350,4470,18700,27600,131,4480.0,,
2006,66,38060,118,22,0,750,3,71,1,20,6,1,1,6,1,9600,1090,2400,27600,131,4480.0,,
2006,66,38060,118,22,0,750,4,80,2,1,6,1,1,0,0,9920,0,9999999,27600,131,4480.0,,
2006,192,46060,201,22,0,600,1,192,1,25,6,7,1,5,1,8230,1990,16800,16800,123,4480.0,,
2006,192,46060,201,22,0,600,2,229,1,2,6,1,1,0,0,9920,0,9999999,16800,123,4480.0,,
2006,192,46060,201,22,0,600,3,167,2,23,6,7,1,6,1,4720,4970,14400,16800,140,4480.0,,
2006,125,38060,121,13,880,0,1,124,1,24,6,1,0,10,1,540,6990,31000,31000,302,4480.0,,
2006,125,38060,121,13,880,0,3,129,2,24,6,8,0,11,1,2000,7870,31000,31000,302,4480.0,,
2006,58,46060,205,22,0,560,1,59,2,49,4,1,0,8,1,4000,8680,29900,29900,286,4482.0,,
2006,67,38060,120,13,3000,0,1,68,2,51,1,6,0,6,1,4520,8990,25000,51000,379,4482.0,,
2006,76,38060,109,12,0,0,1,76,1,57,6,1,0,10,3,150,3190,24780,51980,397,4482.0,,
2006,76,38060,109,12,0,0,2,135,1,92,5,1,0,6,3,9920,0,27200,51980,397,4482.0,,
2006,180,38060,103,22,0,540,1,181,1,30,6,1,0,11,1,230,7860,47000,47000,461,4482.0,,
2006,86,38060,101,12,0,0,1,85,2,55,4,1,0,8,3,2430,7860,43000,43000,414,4482.0,,
2006,55,46060,207,13,1200,0,1,53,2,41,1,1,1,10,1,4230,7690,5000,41400,149,4480.0,,
2006,55,46060,207,13,1200,0,2,63,1,38,1,1,1,6,2,8965,3970,36200,41400,149,4480.0,,
2006,55,46060,207,13,1200,0,3,59,1,18,6,1,1,6,2,9920,9920,200,41400,149,4480.0,,
2006,55,46060,207,13,1200,0,4,59,1,14,6,1,1,2,0,9920,0,9999999,41400,149,4480.0,,
2006,55,46060,207,13,1200,0,5,59,1,7,6,1,1,1,0,9920,0,9999999,41400,149,4480.0,,
2006,55,46060,207,13,1200,0,6,60,2,5,6,1,1,1,0,9920,0,9999999,41400,149,4480.0,,
2006,39,38060,116,22,0,950,1,41,1,19,6,1,0,7,3,3950,8590,6000,6000,57,4480.0,,
2006,39,38060,116,22,0,950,2,67,1,19,6,1,0,7,3,9920,0,0,0,1,4480.0,,
2006,41,38060,108,22,0,930,1,42,1,23,1,1,0,11,3,30,7870,0,8000,61,4480.0,,
2006,41,38060,108,22,0,930,2,43,2,22,1,6,0,10,1,4850,4380,8000,8000,61,4480.0,,
2006,82,38060,110,22,0,950,7,137,2,33,6,2,0,6,1,5240,8680,30600,30600,296,4480.0,,
2006,49,49740,700,22,0,830,1,49,1,44,1,6,0,7,1,8740,3490,39000,39000,191,4482.0,,
2006,49,49740,700,22,0,830,2,71,2,27,1,6,0,6,3,4510,8980,0,39000,191,4482.0,,
2006,49,49740,700,22,0,830,3,43,2,2,6,6,0,0,0,9920,0,9999999,39000,191,4482.0,,
2006,49,49740,700,22,0,830,4,42,2,1,6,6,0,0,0,9920,0,9999999,39000,191,4482.0,,
2006,91,38060,110,22,0,950,1,91,1,33,1,7,1,6,1,6440,7790,65000,90000,345,4480.0,,
2006,91,38060,110,22,0,950,2,84,2,31,1,7,1,6,3,5110,8190,25000,90000,345,4480.0,,
2006,91,38060,110,22,0,950,3,84,1,10,6,7,1,1,0,9920,0,9999999,90000,345,4480.0,,
2006,91,38060,110,22,0,950,4,84,1,8,6,7,1,1,0,9920,0,9999999,90000,345,4480.0,,
2006,91,38060,110,22,0,950,5,93,1,4,6,7,1,1,0,9920,0,9999999,90000,345,4480.0,,
2006,91,38060,110,22,0,950,6,90,2,2,6,7,1,0,0,9920,0,9999999,90000,345,4480.0,,
2006,90,38060,113,22,0,510,1,92,1,38,4,7,1,10,1,9610,7080,17000,17000,165,4480.0,,
2006,306,38060,107,22,0,900,1,300,1,41,2,2,0,10,1,2720,8560,75000,75000,501,4480.0,,
2006,76,39140,500,13,760,0,2,149,1,55,6,1,0,8,3,3940,9370,10100,1700,110,4480.0,,
2006,76,39140,500,13,760,0,3,162,2,76,4,1,0,6,3,9920,0,10800,1700,110,4480.0,,
2006,76,39140,500,13,760,0,4,126,2,11,6,1,0,2,0,9920,0,9999999,1700,110,4480.0,,
2006,67,38060,108,13,960,0,1,68,1,45,1,7,1,6,1,7700,670,44000,63600,267,4480.0,,
2006,67,38060,108,13,960,0,2,60,2,44,1,7,1,7,3,9130,7680,19000,63600,267,4480.0,,
2006,67,38060,108,13,960,0,3,63,2,17,6,7,1,3,3,4760,5380,600,63600,267,4480.0,,
2006,67,38060,108,13,960,0,4,63,2,13,6,7,1,2,0,9920,0,9999999,63600,267,4480.0,,
2006,67,38060,108,13,960,0,5,67,1,8,6,7,1,1,0,9920,0,9999999,63600,267,4480.0,,
2006,84,38060,116,13,1100,0,1,87,2,47,6,7,1,10,1,5820,6890,35000,35000,335,4480.0,,
