State00,PUMA00,GEOID00,GISJOIN00,State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,CPUMA00,CPUMA10,PUMA00_Pop00,PUMA10_Pop00,Part_Pop00,pPUMA00_Pop00,pPUMA10_Pop00,PUMA00_Pop10,PUMA10_Pop10,Part_Pop10,pPUMA00_Pop10,pPUMA10_Pop10,PUMA00_Land,PUMA10_Land,Part_Land,pPUMA00_Land,pPUMA10_Land
04,00114,0400114,G04000114,04,00101,0400101,G04000101,Arizona,Maricopa County--Mesa City (East),24,24,"183,523","89,630","36,506",19.89,40.73,"197,491","146,304","52,193",26.43,35.67,"193,160,782","224,488,702","82,669,929",42.80,36.83
04,00114,0400114,G04000114,04,00102,0400102,G04000102,Arizona,Maricopa County--Mesa City (North Central),24,24,"183,523","136,291","110,639",60.29,81.18,"197,491","131,113","107,175",54.27,81.74,"193,160,782","106,144,394","92,408,115",47.84,87.06
04,00114,0400114,G04000114,04,00103,0400103,G04000103,Arizona,Maricopa County--Mesa City (West),24,24,"183,523","112,857","3,439",1.87,3.05,"197,491","106,091","3,390",1.72,3.20,"193,160,782","46,711,758","1,321,110",0.68,2.83
04,00114,0400114,G04000114,04,00104,0400104,G04000104,Arizona,Maricopa County--Mesa City (South Central),24,24,"183,523","97,722","32,939",17.95,33.71,"197,491","100,229","34,733",17.59,34.65,"193,160,782","54,152,039","16,761,628",8.68,30.95
04,00115,0400115,G04000115,04,00102,0400102,G04000102,Arizona,Maricopa County--Mesa City (North Central),24,24,"152,860","136,291","25,652",16.78,18.82,"143,054","131,113","23,938",16.73,18.26,"65,644,456","106,144,394","13,736,043",20.92,12.94
04,00115,0400115,G04000115,04,00103,0400103,G04000103,Arizona,Maricopa County--Mesa City (West),24,24,"152,860","112,857","109,418",71.58,96.95,"143,054","106,091","102,701",71.79,96.80,"65,644,456","46,711,758","45,375,340",69.12,97.14
04,00115,0400115,G04000115,04,00104,0400104,G04000104,Arizona,Maricopa County--Mesa City (South Central),24,24,"152,860","97,722","17,790",11.64,18.20,"143,054","100,229","16,415",11.47,16.38,"65,644,456","54,152,039","6,459,026",9.84,11.93
04,00115,0400115,G04000115,04,00108,0400108,G04000108,Arizona,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,24,23,"152,860","103,646",0,0.00,0.00,"143,054","101,048",0,0.00,0.00,"65,644,456","70,680,378","66,400",0.10,0.09
04,00115,0400115,G04000115,04,00109,0400109,G04000109,Arizona,Maricopa County--Tempe City (North),24,23,"152,860","99,395",0,0.00,0.00,"143,054","102,150",0,0.00,0.00,"65,644,456","61,294,312","7,647",0.01,0.01
04,00116,0400116,G04000116,04,00102,0400102,G04000102,Arizona,Maricopa County--Mesa City (North Central),23,24,"163,902","136,291",0,0.00,0.00,"165,987","131,113",0,0.00,0.00,"104,074,375","106,144,394",236,0.00,0.00
04,00116,0400116,G04000116,04,00103,0400103,G04000103,Arizona,Maricopa County--Mesa City (West),23,24,"163,902","112,857",0,0.00,0.00,"165,987","106,091",0,0.00,0.00,"104,074,375","46,711,758","15,282",0.01,0.03
04,00116,0400116,G04000116,04,00108,0400108,G04000108,Arizona,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,23,23,"163,902","103,646","64,507",39.36,62.24,"165,987","101,048","63,837",38.46,63.17,"104,074,375","70,680,378","43,050,506",41.37,60.91
04,00116,0400116,G04000116,04,00109,0400109,G04000109,Arizona,Maricopa County--Tempe City (North),23,23,"163,902","99,395","99,395",60.64,100.00,"165,987","102,150","102,150",61.54,100.00,"104,074,375","61,294,312","60,988,898",58.60,99.50
